Node ID,Node Title,Centrality Authority/organization x organization,Centrality Betweenness/organization x organization,Centrality Betweenness/organization x organization/[unscaled],Clique Count/organization x organization,Centrality Closeness/organization x organization,Centrality Closeness/organization x organization/[unscaled],Density Clustering Coefficient/organization x organization,Centrality Eigenvector/organization x organization,Centrality Eigenvector/organization x organization/[unscaled],Centrality Eigenvector Per Component/organization x organization,Centrality Hub/organization x organization,Centrality In-Closeness/organization x organization,Centrality In-Closeness/organization x organization/[unscaled],Centrality In Degree/organization x organization,Centrality In Degree/organization x organization/[unscaled],Centrality Information/organization x organization,Centrality Information/organization x organization/[unscaled],Centrality Inverse Closeness/organization x organization,Centrality Inverse Closeness/organization x organization/[unscaled],Centrality Out Degree/organization x organization,Centrality Out Degree/organization x organization/[unscaled],Simmelian Ties/organization x organization,Simmelian Ties/organization x organization/[unscaled],Centrality Total Degree/organization x organization,Centrality Total Degree/organization x organization/[unscaled],Component Members Weak/organization x organization,
93,AirForce,0.1331,0.0140,89.8708,3.0000,0.4086,0.0036,0.5111,0.1331,0.0941,0.0941,0.1331,0.4086,0.0036,0.0877,10.0000,0.0085,4.3122,0.4547,51.8333,0.0877,10.0000,0.0877,10.0000,0.0877,10.0000,1.0000,
94,Rutgers,0.1142,0.0053,34.2461,5.0000,0.3918,0.0034,0.6000,0.1142,0.0807,0.0807,0.1142,0.3918,0.0034,0.0877,10.0000,0.0083,4.2137,0.4401,50.1667,0.0877,10.0000,0.0877,10.0000,0.0877,10.0000,1.0000,
95,Georgia,0.1058,0.0069,44.6196,7.0000,0.3851,0.0034,0.4444,0.1058,0.0748,0.0748,0.1058,0.3851,0.0034,0.0877,10.0000,0.0084,4.2264,0.4371,49.8333,0.0877,10.0000,0.0789,9.0000,0.0877,10.0000,1.0000,
96,LouisianaState,0.1045,0.0069,44.7030,6.0000,0.3762,0.0033,0.4222,0.1045,0.0739,0.0739,0.1045,0.3762,0.0033,0.0877,10.0000,0.0083,4.2107,0.4269,48.6667,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
97,LouisianaLafayette,0.0833,0.0104,66.8916,4.0000,0.3958,0.0035,0.2143,0.0833,0.0589,0.0589,0.0833,0.3958,0.0035,0.0702,8.0000,0.0078,3.9192,0.4386,50.0000,0.0702,8.0000,0.0614,7.0000,0.0702,8.0000,1.0000,
98,Texas,0.1361,0.0141,91.0776,7.0000,0.3878,0.0034,0.3636,0.1361,0.0962,0.0962,0.1361,0.3878,0.0034,0.0965,11.0000,0.0088,4.4569,0.4444,50.6667,0.0965,11.0000,0.0789,9.0000,0.0965,11.0000,1.0000,
99,Marshall,0.1066,0.0091,58.3738,4.0000,0.3762,0.0033,0.4222,0.1066,0.0754,0.0754,0.1066,0.3762,0.0033,0.0877,10.0000,0.0083,4.2104,0.4313,49.1667,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
100,MichiganState,0.1506,0.0118,75.8817,10.0000,0.4028,0.0035,0.4000,0.1506,0.1065,0.1065,0.1506,0.4028,0.0035,0.0965,11.0000,0.0089,4.5124,0.4569,52.0833,0.0965,11.0000,0.0789,9.0000,0.0965,11.0000,1.0000,
101,MiamiFlorida,0.1156,0.0183,117.7887,1.0000,0.4043,0.0035,0.4667,0.1156,0.0817,0.0817,0.1156,0.4043,0.0035,0.0877,10.0000,0.0085,4.2810,0.4510,51.4167,0.0877,10.0000,0.0614,7.0000,0.0877,10.0000,1.0000,
102,Missouri,0.1277,0.0159,102.5881,7.0000,0.4014,0.0035,0.4222,0.1277,0.0903,0.0903,0.1277,0.4014,0.0035,0.0877,10.0000,0.0084,4.2655,0.4481,51.0833,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
103,Clemson,0.1156,0.0135,87.1871,1.0000,0.3904,0.0034,0.6222,0.1156,0.0817,0.0817,0.1156,0.3904,0.0034,0.0877,10.0000,0.0082,4.1648,0.4401,50.1667,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
104,NevadaLasVegas,0.1608,0.0188,121.2158,3.0000,0.4222,0.0037,0.3636,0.1608,0.1137,0.1137,0.1608,0.4222,0.0037,0.1053,12.0000,0.0093,4.7017,0.4744,54.0833,0.1053,12.0000,0.0789,9.0000,0.1053,12.0000,1.0000,
105,WakeForest,0.1158,0.0044,28.1593,3.0000,0.3864,0.0034,0.6667,0.1158,0.0819,0.0819,0.1158,0.3864,0.0034,0.0877,10.0000,0.0082,4.1357,0.4364,49.7500,0.0877,10.0000,0.0877,10.0000,0.0877,10.0000,1.0000,
106,Indiana,0.1485,0.0205,132.0286,10.0000,0.4270,0.0037,0.4000,0.1485,0.1050,0.1050,0.1485,0.4270,0.0037,0.0965,11.0000,0.0090,4.5436,0.4751,54.1667,0.0965,11.0000,0.0789,9.0000,0.0965,11.0000,1.0000,
107,OklahomaState,0.1295,0.0104,66.7330,8.0000,0.3986,0.0035,0.4222,0.1295,0.0916,0.0916,0.1295,0.3986,0.0035,0.0877,10.0000,0.0084,4.2572,0.4474,51.0000,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
108,OregonState,0.1428,0.0030,19.3367,18.0000,0.3540,0.0031,0.5778,0.1428,0.1010,0.1010,0.1428,0.3540,0.0031,0.0877,10.0000,0.0082,4.1269,0.4094,46.6667,0.0877,10.0000,0.0877,10.0000,0.0877,10.0000,1.0000,
109,Maryland,0.1234,0.0090,57.6926,2.0000,0.3918,0.0034,0.5273,0.1234,0.0873,0.0873,0.1234,0.3918,0.0034,0.0965,11.0000,0.0086,4.3636,0.4430,50.5000,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,
110,TexasChristian,0.1626,0.0144,92.5599,1.0000,0.4130,0.0036,0.5091,0.1626,0.1149,0.1149,0.1626,0.4130,0.0036,0.0965,11.0000,0.0089,4.4714,0.4627,52.7500,0.0965,11.0000,0.0702,8.0000,0.0965,11.0000,1.0000,
111,California,0.1573,0.0075,48.4098,18.0000,0.3826,0.0034,0.4727,0.1573,0.1112,0.1112,0.1573,0.3826,0.0034,0.0965,11.0000,0.0086,4.3613,0.4386,50.0000,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,
112,AlabamaBirmingham,0.1033,0.0116,74.5970,9.0000,0.3958,0.0035,0.2889,0.1033,0.0730,0.0730,0.1033,0.3958,0.0035,0.0877,10.0000,0.0086,4.3219,0.4452,50.7500,0.0877,10.0000,0.0702,8.0000,0.0877,10.0000,1.0000,
113,Arkansas,0.0996,0.0065,41.8543,7.0000,0.3775,0.0033,0.4444,0.0996,0.0704,0.0704,0.0996,0.3775,0.0033,0.0877,10.0000,0.0083,4.2060,0.4276,48.7500,0.0877,10.0000,0.0789,9.0000,0.0877,10.0000,1.0000,
114,Hawaii,0.1665,0.0102,65.9967,3.0000,0.4130,0.0036,0.5455,0.1665,0.1177,0.1177,0.1665,0.4130,0.0036,0.0965,11.0000,0.0088,4.4548,0.4627,52.7500,0.0965,11.0000,0.0877,10.0000,0.0965,11.0000,1.0000,

,GINI-COEFFICIENT,0.1026,0.2445,0.2445,0.3527,0.0220,0.0220,0.1400,0.1026,0.1026,0.1026,0.1026,0.0220,0.0220,0.0400,0.0400,0.0225,0.0225,0.0181,0.0181,0.0400,0.0400,0.0786,0.0786,0.0400,0.0400,0.0000,
,HERFINDAHL-INDEX,0.0003,0.0018,0.0018,0.0040,0.0000,0.0000,0.0006,0.0003,0.0003,0.0003,0.0003,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0.0002,0.0001,0.0001,0.0000,
,BRILLOUIN-INDEX,1.0000,1.0000,1.0000,0.5975,0.8146,0.8146,0.7873,1.0000,1.0000,1.0000,1.0000,0.8146,0.8146,0.2903,0.2903,1.0000,1.0000,0.9148,0.9148,0.2903,0.2903,0.4051,0.4051,0.2903,0.2903,0.0000,
